q2,dBR/dq2,dBR/dq2_upper,dBR/dq2_lower
1.404440980812606,3.7325364428298667e-13,6.235977644785317e-13,2.180847310943027e-13
1.4116895755938583,3.6637922247053067e-13,6.121769753443292e-13,2.1389544959703438e-13
1.4189381703751112,3.595930275527167e-13,6.008994642554558e-13,2.0976561825983048e-13
1.4261867651563636,3.5289230349849445e-13,5.897607742025098e-13,2.0569344619898576e-13
1.4334353599376162,3.462743435473153e-13,5.787565267711911e-13,2.0167717603001444e-13
1.4406839547188688,3.39736487131652e-13,5.67882417086693e-13,1.9771508197217578e-13
1.4479325495001212,3.3327611676117e-13,5.571342086907009e-13,1.9380546793547407e-13
1.4551811442813738,3.268906548567418e-13,5.465077283318441e-13,1.8994666558277437e-13
1.4624297390626262,3.2057756051548243e-13,5.359988606377709e-13,1.8613703235696997e-13
1.4696783338438788,3.1433432619092663e-13,5.256035426427849e-13,1.8237494946350147e-13
1.4769269286251312,3.0815847426757044e-13,5.153177581357427e-13,1.7865881979671842e-13
1.4841755234063838,3.0204755350846204e-13,5.051375317928685e-13,1.749870657979907e-13
1.4914241181876364,2.959991353494775e-13,4.950589230514281e-13,1.7135812723066912e-13
1.4986727129688888,2.900108100138972e-13,4.85078019680039e-13,1.677704588564721e-13
1.5059213077501414,2.840801824128559e-13,4.751909309874381e-13,1.6422252799427747e-13
1.513169902531394,2.7820486779711863e-13,4.653937806130362e-13,1.6071281194162207e-13
1.5204184973126464,2.7238248711551457e-13,4.556826988233431e-13,1.5723979523347946e-13
1.5276670920938988,2.666106620330494e-13,4.460538142361616e-13,1.538019667117908e-13
1.5349156868751517,2.608870095505983e-13,4.365032448749852e-13,1.5039781637329889e-13
1.542164281656404,2.552091361604126e-13,4.2702708844360637e-13,1.4702583195782323e-13
1.5494128764376565,2.4957463146062073e-13,4.1762141169206477e-13,1.4368449523400707e-13
1.556661471218909,2.43981061135558e-13,4.0828223871815223e-13,1.403722779303716e-13
1.5639100660001617,2.384259591966854e-13,3.99005538027655e-13,1.370876372511816e-13
1.571158660781414,2.32906819353544e-13,3.8978720813525604e-13,1.3382901090462922e-13
1.5784072555626667,2.2742108536304525e-13,3.80623061451299e-13,1.3059481155696104e-13
1.585655850343919,2.2196614017348589e-13,3.7150880614722394e-13,1.27383420609241e-13
1.5929044451251717,2.1653929363967562e-13,3.6244002562486895e-13,1.2419318117097557e-13
1.600153039906424,2.1113776854234323e-13,3.5341215514269706e-13,1.2102239007940165e-13
1.6074016346876767,2.057586845804412e-13,3.4442045504353125e-13,1.1786928877834985e-13
1.614650229468929,2.003990399336158e-13,3.354599799095377e-13,1.1473205282869075e-13
1.6218988242501815,1.950556898921359e-13,3.265255428013909e-13,1.1160877976822082e-13
1.6291474190314343,1.8972532193247998e-13,3.1761167354145814e-13,1.0849747496862114e-13
1.636396013812687,1.844044264524082e-13,3.0871256972209017e-13,1.0539603504771395e-13
1.6436446085939391,1.7908926217320365e-13,2.9982203877823895e-13,1.0230222827651442e-13
1.6508932033751915,1.737758149397909e-13,2.9093342899749916e-13,9.921367126540892e-14
1.6581417981564444,1.684597482822809e-13,2.8203954672617203e-13,9.612780100647633e-14
1.665390392937697,1.6313634360562165e-13,2.731325561980088e-13,9.304184106882298e-14
1.6726389877189494,1.5780042719608333e-13,2.6420385727699025e-13,8.995276036054294e-14
1.679887582500202,1.5244628029724926e-13,2.5524393483637764e-13,8.685722234381887e-14
1.6871361772814546,1.4706752718916417e-13,2.4624217128866037e-13,8.375152184428875e-14
